item_id,title,type,genres,release_year,duration_min,quality_score,maturity_rating
T0001,Aventura em Cena 001,Série,Aventura|Família,2013,52,8.7,18
T0002,Animação em Cena 002,Série,Animação,2012,29,6.86,12
T0003,Suspense em Cena 003,Filme,Suspense|Família,2007,133,6.08,Livre
T0004,Ficção científica em Cena 004,Série,Ficção científica|Terror,2007,33,7.28,10
T0005,Ficção científica em Cena 005,Série,Ficção científica,2025,42,7.32,Livre
T0006,Crime em Cena 006,Filme,Crime|Animação,2015,134,8.46,10
T0007,Aventura em Cena 007,Filme,Aventura|Terror,2014,119,7.94,14
T0008,Terror em Cena 008,Filme,Terror|Animação,2022,107,7.46,16
T0009,Comédia em Cena 009,Série,Comédia|Ficção científica,2018,24,8.56,14
T0010,Aventura em Cena 010,Filme,Aventura|Comédia|Terror,2025,106,5.91,14
T0011,Romance em Cena 011,Série,Romance|Ficção científica,2023,53,6.46,10
T0012,Família em Cena 012,Filme,Família,2016,113,6.17,16
T0013,Terror em Cena 013,Série,Terror|Aventura,2014,36,6.71,14
T0014,Animação em Cena 014,Filme,Animação,2026,118,5.72,16
T0015,Terror em Cena 015,Série,Terror|Crime|Documentário,2021,57,7.74,18
T0016,Animação em Cena 016,Filme,Animação|Romance|Suspense,2026,148,6.88,12
T0017,Romance em Cena 017,Filme,Romance,2005,123,5.63,Livre
T0018,Aventura em Cena 018,Série,Aventura|Suspense,2024,56,6.08,12
T0019,Crime em Cena 019,Série,Crime,2020,45,7.41,12
T0020,Ficção científica em Cena 020,Série,Ficção científica|Suspense,2006,26,7.94,18
T0021,Romance em Cena 021,Filme,Romance|Família|Ficção científica,2019,97,9.1,12
T0022,Documentário em Cena 022,Filme,Documentário,2021,99,9.7,16
T0023,Comédia em Cena 023,Filme,Comédia,2000,109,7.51,14
T0024,Família em Cena 024,Filme,Família,2016,97,6.11,10
T0025,Animação em Cena 025,Série,Animação,2023,53,4.97,12
T0026,Suspense em Cena 026,Série,Suspense|Comédia,2011,29,7.37,14
T0027,Documentário em Cena 027,Série,Documentário,2016,42,6.29,14
T0028,Animação em Cena 028,Série,Animação|Comédia|Suspense,2015,32,6.68,12
T0029,Romance em Cena 029,Série,Romance|Aventura,2012,44,6.49,12
T0030,Ficção científica em Cena 030,Série,Ficção científica|Família|Drama,2025,33,6.96,16
T0031,Ficção científica em Cena 031,Filme,Ficção científica,2023,107,8.17,10
T0032,Comédia em Cena 032,Filme,Comédia|Drama,2005,135,7.26,18
T0033,Aventura em Cena 033,Série,Aventura|Romance,2026,60,6.94,10
T0034,Romance em Cena 034,Série,Romance,2024,54,6.06,Livre
T0035,Crime em Cena 035,Filme,Crime|Comédia,2011,117,5.43,14
T0036,Ação em Cena 036,Filme,Ação|Drama|Terror,2024,90,6.61,14
T0037,Crime em Cena 037,Série,Crime,2005,31,7.05,14
T0038,Animação em Cena 038,Filme,Animação,2026,112,8.87,12
T0039,Drama em Cena 039,Filme,Drama,2020,120,7.23,18
T0040,Suspense em Cena 040,Série,Suspense|Ficção científica,2020,60,8.08,14
T0041,Aventura em Cena 041,Série,Aventura|Animação,2004,57,6.6,14
T0042,Animação em Cena 042,Filme,Animação|Crime|Romance,2025,142,5.92,12
T0043,Terror em Cena 043,Série,Terror|Ação|Ficção científica,2001,38,6.13,Livre
T0044,Documentário em Cena 044,Filme,Documentário,2010,105,6.37,14
T0045,Ação em Cena 045,Série,Ação|Comédia,2006,27,9.23,12
T0046,Família em Cena 046,Filme,Família,2022,78,6.28,14
T0047,Ficção científica em Cena 047,Filme,Ficção científica|Animação,2008,94,7.94,Livre
T0048,Crime em Cena 048,Filme,Crime|Romance,2025,123,6.2,18
T0049,Terror em Cena 049,Filme,Terror,2020,145,8.03,14
T0050,Animação em Cena 050,Série,Animação,2002,33,7.48,16
T0051,Animação em Cena 051,Filme,Animação,2000,127,6.94,14
T0052,Comédia em Cena 052,Filme,Comédia|Ficção científica,2002,137,7.06,Livre
T0053,Documentário em Cena 053,Filme,Documentário|Suspense,2019,91,6.45,16
T0054,Ficção científica em Cena 054,Série,Ficção científica,2023,51,7.55,14
T0055,Ficção científica em Cena 055,Série,Ficção científica,2010,47,6.65,16
T0056,Ação em Cena 056,Série,Ação,2024,58,5.87,12
T0057,Romance em Cena 057,Filme,Romance|Ação,2003,113,5.82,14
T0058,Aventura em Cena 058,Filme,Aventura,2023,141,7.27,16
T0059,Terror em Cena 059,Filme,Terror|Documentário|Suspense,2025,114,8.68,14
T0060,Terror em Cena 060,Filme,Terror|Aventura|Suspense,2022,141,7.26,12
T0061,Família em Cena 061,Série,Família|Comédia,2021,39,6.98,14
T0062,Terror em Cena 062,Série,Terror,2024,28,7.39,14
T0063,Documentário em Cena 063,Filme,Documentário,2002,82,8.41,18
