interaction_id,user_id,item_id,event_type,event_weight,watch_pct,event_ts,session_id,source
I0010575,U0229,T0070,play,1.0,0.2462,2026-03-17T01:00:00,S0228003,Home
I0012095,U0262,T0140,complete,3.0,0.9021,2026-03-17T01:00:00,S0261002,Home
I0036021,U0785,T0052,complete,3.0,0.9597,2026-03-17T01:00:00,S0784007,Minha lista
I0014888,U0323,T0010,complete,3.0,0.9781,2026-03-17T01:00:00,S0322002,Busca
I0000698,U0017,T0146,complete,3.0,0.978,2026-03-17T01:00:00,S0016004,Busca
I0018421,U0398,T0037,skip,-1.0,0.076,2026-03-17T01:00:00,S0397007,Minha lista
I0027289,U0595,T0072,complete,3.0,0.9527,2026-03-17T01:00:00,S0594008,Busca
I0026745,U0583,T0159,like,4.0,0.9542,2026-03-17T01:00:00,S0582008,Home
I0021973,U0477,T0192,complete,3.0,0.8716,2026-03-17T01:00:00,S0476001,Busca
I0017226,U0371,T0058,play,1.0,0.5929,2026-03-17T01:00:00,S0370011,Home
I0032985,U0721,T0097,complete,3.0,0.964,2026-03-17T01:00:00,S0720008,Minha lista
I0007861,U0171,T0111,play,1.0,0.6659,2026-03-17T01:00:00,S0170010,Home
I0011860,U0256,T0101,complete,3.0,0.8771,2026-03-17T01:00:00,S0255012,Home
I0006808,U0149,T0116,play,1.0,0.2499,2026-03-17T01:00:00,S0148009,Minha lista
I0031889,U0699,T0050,complete,3.0,0.8514,2026-03-17T01:00:00,S0698003,Home
I0007102,U0155,T0037,complete,3.0,0.9369,2026-03-17T01:00:00,S0154007,Home
I0001248,U0029,T0074,complete,3.0,0.8697,2026-03-17T01:00:00,S0028005,Home
I0019646,U0425,T0093,like,4.0,0.7776,2026-03-17T01:00:00,S0424002,Home
I0030919,U0677,T0074,complete,3.0,0.9999,2026-03-17T01:00:00,S0676004,Busca
I0035659,U0777,T0001,play,1.0,0.5999,2026-03-17T01:00:00,S0776012,Home
I0011121,U0240,T0055,like,4.0,0.7401,2026-03-17T01:00:00,S0239010,Busca
I0033204,U0726,T0150,complete,3.0,0.8712,2026-03-17T01:00:00,S0725008,Top 10
I0002235,U0051,T0136,skip,-1.0,0.1297,2026-03-17T01:00:00,S0050008,Home
I0014247,U0310,T0043,complete,3.0,0.8371,2026-03-17T01:00:00,S0309000,Home
I0010588,U0229,T0013,play,1.0,0.213,2026-03-17T01:00:00,S0228006,Home
I0000114,U0003,T0089,play,1.0,0.3178,2026-03-17T01:00:00,S0002012,Home
I0027852,U0609,T0176,complete,3.0,0.8716,2026-03-17T01:00:00,S0608010,Home
I0026862,U0587,T0185,play,1.0,0.6615,2026-03-17T01:00:00,S0586002,Home
I0003683,U0082,T0037,play,1.0,0.47,2026-03-17T01:00:00,S0081008,Home
I0023354,U0508,T0012,like,4.0,0.9908,2026-03-17T01:00:00,S0507005,Home
I0005474,U0121,T0207,skip,-1.0,0.0333,2026-03-17T01:00:00,S0120005,Top 10
I0022045,U0478,T0183,complete,3.0,0.9615,2026-03-17T01:00:00,S0477006,Home
I0029412,U0644,T0065,complete,3.0,0.9494,2026-03-17T01:00:00,S0643003,Home
I0001596,U0036,T0126,complete,3.0,0.8241,2026-03-17T01:00:00,S0035003,Busca
I0035281,U0770,T0201,skip,-1.0,0.0462,2026-03-17T01:00:00,S0769011,Home
I0025216,U0548,T0060,play,1.0,0.4888,2026-03-17T01:00:00,S0547009,Busca
I0003133,U0070,T0007,complete,3.0,0.9684,2026-03-17T01:00:00,S0069012,Home
I0010369,U0224,T0017,play,1.0,0.3016,2026-03-17T01:00:00,S0223004,Home
I0025962,U0566,T0121,like,4.0,0.893,2026-03-17T01:00:00,S0565009,Busca
I0028771,U0630,T0027,complete,3.0,0.8768,2026-03-17T01:00:00,S0629001,Home
I0015827,U0342,T0239,complete,3.0,0.9107,2026-03-17T01:00:00,S0341000,Busca
I0016751,U0361,T0139,skip,-1.0,0.1497,2026-03-17T01:00:00,S0360004,Home
I0028894,U0632,T0198,like,4.0,0.9565,2026-03-17T01:00:00,S0631004,Home
I0007848,U0171,T0098,skip,-1.0,0.1212,2026-03-17T01:00:00,S0170007,Home
I0009348,U0205,T0078,complete,3.0,0.9093,2026-03-17T01:00:00,S0204002,Home
I0033321,U0728,T0183,complete,3.0,0.9252,2026-03-17T02:00:00,S0727005,Home
I0019971,U0432,T0093,complete,3.0,0.9555,2026-03-17T02:00:00,S0431003,Busca
I0020987,U0455,T0076,play,1.0,0.3065,2026-03-17T02:00:00,S0454005,Home
I0022157,U0480,T0105,like,4.0,0.8337,2026-03-17T02:00:00,S0479014,Home
I0015399,U0333,T0109,complete,3.0,0.8954,2026-03-17T02:00:00,S0332009,Minha lista
I0016054,U0346,T0192,complete,3.0,0.9296,2026-03-17T02:00:00,S0345007,Busca
I0013388,U0291,T0088,complete,3.0,0.8229,2026-03-17T02:00:00,S0290008,Top 10
I0015038,U0325,T0020,complete,3.0,0.8294,2026-03-17T02:00:00,S0324015,Home
I0007928,U0173,T0106,complete,3.0,0.9739,2026-03-17T02:00:00,S0172006,Home
I0003772,U0084,T0197,play,1.0,0.379,2026-03-17T02:00:00,S0083007,Home
I0005585,U0123,T0235,play,1.0,0.4235,2026-03-17T02:00:00,S0122006,Busca
I0003566,U0080,T0029,complete,3.0,0.8391,2026-03-17T02:00:00,S0079005,Home
I0009615,U0209,T0223,like,4.0,0.9682,2026-03-17T02:00:00,S0208013,Home
I0006259,U0137,T0038,complete,3.0,0.8833,2026-03-17T02:00:00,S0136010,Top 10
I0027416,U0599,T0069,complete,3.0,0.9481,2026-03-17T02:00:00,S0598000,Home
I0011115,U0240,T0111,like,4.0,0.7595,2026-03-17T02:00:00,S0239009,Home
I0029159,U0638,T0010,complete,3.0,0.9879,2026-03-17T02:00:00,S0637003,Top 10
I0011580,U0250,T0130,play,1.0,0.3725,2026-03-17T02:00:00,S0249004,Home
I0023616,U0514,T0136,complete,3.0,0.9056,2026-03-17T02:00:00,S0513008,Busca
I0025969,U0566,T0207,like,4.0,0.8174,2026-03-17T02:00:00,S0565011,Home
I0005969,U0131,T0226,skip,-1.0,0.0716,2026-03-17T02:00:00,S0130000,Minha lista
I0022494,U0489,T0153,complete,3.0,0.8404,2026-03-17T02:00:00,S0488007,Busca
I0016431,U0354,T0076,like,4.0,0.7696,2026-03-17T02:00:00,S0353011,Busca
I0030801,U0674,T0156,skip,-1.0,0.1018,2026-03-17T02:00:00,S0673010,Home
I0026707,U0582,T0170,play,1.0,0.4161,2026-03-17T02:00:00,S0581011,Home
I0030613,U0670,T0238,skip,-1.0,0.143,2026-03-17T02:00:00,S0669010,Busca
I0009249,U0203,T0087,complete,3.0,0.8832,2026-03-17T02:00:00,S0202003,Home
I0032099,U0703,T0074,play,1.0,0.5354,2026-03-17T02:00:00,S0702004,Top 10
I0009460,U0207,T0214,play,1.0,0.6888,2026-03-17T02:00:00,S0206002,Home
I0002317,U0053,T0199,complete,3.0,0.9732,2026-03-17T02:00:00,S0052007,Home
I0006914,U0151,T0047,skip,-1.0,0.0864,2026-03-17T02:00:00,S0150013,Top 10
I0015409,U0333,T0110,complete,3.0,0.8745,2026-03-17T02:00:00,S0332011,Minha lista
I0005142,U0114,T0106,skip,-1.0,0.0313,2026-03-17T02:00:00,S0113008,Home
I0017866,U0386,T0052,complete,3.0,0.9785,2026-03-17T02:00:00,S0385004,Home
I0002639,U0060,T0113,complete,3.0,0.9601,2026-03-17T02:00:00,S0059007,Busca
I0028941,U0633,T0013,complete,3.0,0.9613,2026-03-17T02:00:00,S0632003,Home
I0008291,U0182,T0211,complete,3.0,0.8638,2026-03-17T02:00:00,S0181002,Home
I0008934,U0195,T0112,complete,3.0,0.8727,2026-03-17T02:00:00,S0194012,Home
I0008218,U0180,T0161,play,1.0,0.4992,2026-03-17T02:00:00,S0179006,Minha lista
I0004748,U0107,T0200,complete,3.0,0.8889,2026-03-17T02:00:00,S0106008,Busca
I0028757,U0629,T0077,play,1.0,0.4787,2026-03-17T02:00:00,S0628006,Home
I0006203,U0136,T0118,play,1.0,0.5079,2026-03-17T02:00:00,S0135008,Home
I0009671,U0210,T0233,like,4.0,0.8215,2026-03-17T02:00:00,S0209012,Home
I0014120,U0307,T0048,complete,3.0,0.8943,2026-03-17T02:00:00,S0306001,Busca
I0033943,U0742,T0006,play,1.0,0.2158,2026-03-17T02:00:00,S0741007,Home
I0002354,U0054,T0188,like,4.0,0.8138,2026-03-17T02:00:00,S0053007,Top 10
I0002247,U0051,T0032,like,4.0,0.9048,2026-03-17T03:00:00,S0050011,Home
I0016899,U0364,T0074,play,1.0,0.3596,2026-03-17T03:00:00,S0363009,Busca
I0035795,U0780,T0148,complete,3.0,0.9332,2026-03-17T03:00:00,S0779009,Top 10
I0018018,U0389,T0065,play,1.0,0.3826,2026-03-17T03:00:00,S0388016,Top 10
I0009764,U0212,T0170,play,1.0,0.2692,2026-03-17T03:00:00,S0211006,Home
I0017527,U0378,T0053,like,4.0,0.8264,2026-03-17T03:00:00,S0377003,Home
I0007535,U0165,T0035,play,1.0,0.5017,2026-03-17T03:00:00,S0164000,Minha lista
I0028234,U0617,T0195,play,1.0,0.6623,2026-03-17T03:00:00,S0616010,Busca
I0016725,U0360,T0153,complete,3.0,0.9053,2026-03-17T03:00:00,S0359010,Home
I0020476,U0444,T0030,play,1.0,0.4914,2026-03-17T03:00:00,S0443004,Busca
I0017239,U0372,T0123,like,4.0,0.8549,2026-03-17T03:00:00,S0371000,Busca
I0015763,U0340,T0139,complete,3.0,0.8415,2026-03-17T03:00:00,S0339006,Busca
I0023210,U0505,T0052,skip,-1.0,0.0692,2026-03-17T03:00:00,S0504003,Minha lista
I0028302,U0618,T0054,play,1.0,0.6649,2026-03-17T03:00:00,S0617010,Home
I0008894,U0195,T0193,skip,-1.0,0.0159,2026-03-17T03:00:00,S0194002,Home
I0020537,U0445,T0062,complete,3.0,0.9361,2026-03-17T03:00:00,S0444010,Home
I0018299,U0395,T0062,complete,3.0,0.9291,2026-03-17T03:00:00,S0394013,Minha lista
I0022088,U0479,T0051,skip,-1.0,0.1282,2026-03-17T03:00:00,S0478007,Top 10
I0017092,U0368,T0183,play,1.0,0.5323,2026-03-17T03:00:00,S0367006,Minha lista
I0024925,U0543,T0064,complete,3.0,0.9596,2026-03-17T03:00:00,S0542001,Home
I0000056,U0002,T0066,like,4.0,0.7953,2026-03-17T03:00:00,S0001005,Home
I0000791,U0019,T0217,complete,3.0,0.9752,2026-03-17T03:00:00,S0018001,Home
I0027013,U0590,T0123,play,1.0,0.3888,2026-03-17T03:00:00,S0589002,Minha lista
I0013363,U0291,T0197,complete,3.0,0.8597,2026-03-17T03:00:00,S0290002,Home
I0030503,U0668,T0040,like,4.0,0.939,2026-03-17T03:00:00,S0667010,Home
I0026277,U0574,T0096,complete,3.0,0.9945,2026-03-17T03:00:00,S0573000,Busca
I0019096,U0413,T0194,complete,3.0,0.8739,2026-03-17T03:00:00,S0412002,Home
I0016994,U0366,T0096,like,4.0,0.7995,2026-03-17T03:00:00,S0365008,Home
I0010303,U0223,T0180,play,1.0,0.5329,2026-03-17T03:00:00,S0222002,Minha lista
I0014611,U0316,T0037,complete,3.0,0.9683,2026-03-17T03:00:00,S0315014,Home
I0009114,U0200,T0166,play,1.0,0.2851,2026-03-17T03:00:00,S0199008,Home
I0036503,U0795,T0062,like,4.0,0.8384,2026-03-17T03:00:00,S0794004,Busca
I0005461,U0121,T0189,like,4.0,0.9109,2026-03-17T03:00:00,S0120002,Home
I0030966,U0679,T0085,play,1.0,0.4722,2026-03-17T03:00:00,S0678000,Home
I0011265,U0243,T0206,skip,-1.0,0.0226,2026-03-17T03:00:00,S0242009,Minha lista
I0009528,U0208,T0021,play,1.0,0.4229,2026-03-17T03:00:00,S0207005,Top 10
I0028638,U0627,T0090,skip,-1.0,0.0321,2026-03-17T03:00:00,S0626002,Minha lista
I0027341,U0597,T0009,skip,-1.0,0.1478,2026-03-17T03:00:00,S0596002,Busca
I0011678,U0252,T0063,complete,3.0,0.936,2026-03-17T03:00:00,S0251010,Home
I0015424,U0334,T0126,complete,3.0,0.9583,2026-03-17T03:00:00,S0333000,Home
I0026877,U0587,T0027,skip,-1.0,0.1199,2026-03-17T03:00:00,S0586006,Minha lista
I0025033,U0545,T0237,complete,3.0,0.8573,2026-03-17T03:00:00,S0544006,Home
I0011111,U0240,T0105,complete,3.0,0.8657,2026-03-17T03:00:00,S0239008,Home
I0017625,U0380,T0028,play,1.0,0.4672,2026-03-17T03:00:00,S0379003,Home
I0003580,U0080,T0162,complete,3.0,0.8243,2026-03-17T03:00:00,S0079009,Home
