user_id,region,age_group,plan,main_device,favorite_genres,tenure_months
U0001,Sudeste,55+,Basic,Tablet,Crime|Romance|Aventura,45
U0002,Sudeste,25-34,Basic,Smart TV,Comédia|Drama|Terror,8
U0003,Norte,18-24,Basic,Smart TV,Família|Terror|Aventura,29
U0004,Centro-Oeste,25-34,Standard,Desktop,Suspense|Romance|Ficção científica,40
U0005,Sudeste,25-34,Basic,Smart TV,Documentário|Aventura|Comédia,26
U0006,Sudeste,35-44,Standard,Smart TV,Ficção científica|Terror|Comédia,32
U0007,Sudeste,55+,Standard,Tablet,Animação|Aventura|Família,43
U0008,Sudeste,35-44,Basic,Smart TV,Documentário|Aventura|Família,43
U0009,Sudeste,55+,Premium,Mobile,Suspense|Drama|Ficção científica,32
U0010,Nordeste,25-34,Standard,Mobile,Família|Ficção científica|Romance,4
U0011,Sudeste,25-34,Basic,Mobile,Drama|Ficção científica|Comédia,38
U0012,Centro-Oeste,25-34,Basic,Mobile,Comédia|Drama|Crime,37
U0013,Norte,45-54,Standard,Smart TV,Ação|Animação|Terror,15
U0014,Sudeste,25-34,Premium,Desktop,Ação|Suspense|Ficção científica,8
U0015,Sudeste,25-34,Standard,Desktop,Ficção científica|Crime|Aventura,7
U0016,Sul,25-34,Premium,Smart TV,Família|Drama|Romance,14
U0017,Sudeste,25-34,Basic,Smart TV,Crime|Animação|Suspense,36
U0018,Nordeste,35-44,Premium,Mobile,Aventura|Ficção científica|Ação,46
U0019,Sul,45-54,Basic,Smart TV,Ficção científica|Romance|Crime,8
U0020,Sudeste,18-24,Basic,Desktop,Documentário|Crime|Aventura,20
U0021,Centro-Oeste,35-44,Standard,Desktop,Ficção científica|Romance|Documentário,41
U0022,Sudeste,18-24,Basic,Smart TV,Animação|Família|Comédia,5
U0023,Sudeste,25-34,Standard,Desktop,Ficção científica|Família|Suspense,46
U0024,Norte,25-34,Basic,Desktop,Documentário|Ação|Família,1
U0025,Sudeste,35-44,Standard,Mobile,Drama|Suspense|Aventura,14
U0026,Sudeste,35-44,Standard,Tablet,Terror|Crime|Comédia,2
U0027,Sudeste,35-44,Standard,Smart TV,Crime|Animação|Romance,37
U0028,Sudeste,45-54,Standard,Desktop,Terror|Aventura|Ficção científica,21
U0029,Sudeste,25-34,Basic,Smart TV,Documentário|Animação|Drama,21
U0030,Nordeste,35-44,Premium,Mobile,Documentário|Crime|Ação,27
U0031,Sudeste,35-44,Standard,Mobile,Documentário|Terror|Comédia,15
U0032,Sul,18-24,Standard,Smart TV,Documentário|Comédia|Ficção científica,37
U0033,Sudeste,25-34,Basic,Mobile,Família|Animação|Documentário,21
U0034,Sudeste,18-24,Basic,Mobile,Ação|Terror|Romance,39
U0035,Norte,18-24,Standard,Mobile,Romance|Ficção científica|Documentário,32
U0036,Nordeste,25-34,Standard,Mobile,Documentário|Romance|Família,33
U0037,Nordeste,25-34,Premium,Smart TV,Comédia|Animação|Terror,48
U0038,Sudeste,45-54,Premium,Smart TV,Comédia|Animação|Drama,25
U0039,Sul,45-54,Standard,Smart TV,Suspense|Ação|Drama,15
U0040,Nordeste,35-44,Standard,Tablet,Crime|Ação|Suspense,35
U0041,Centro-Oeste,35-44,Premium,Mobile,Ação|Comédia|Terror,34
U0042,Nordeste,55+,Basic,Mobile,Crime|Animação|Ficção científica,24
U0043,Sudeste,25-34,Standard,Mobile,Comédia|Drama|Terror,17
U0044,Sudeste,35-44,Standard,Mobile,Aventura|Romance|Drama,45
U0045,Sudeste,35-44,Basic,Smart TV,Drama|Crime|Suspense,13
U0046,Sudeste,55+,Basic,Smart TV,Família|Ficção científica|Terror,4
U0047,Sudeste,45-54,Basic,Mobile,Comédia|Terror|Ficção científica,31
U0048,Sudeste,18-24,Standard,Smart TV,Família|Ficção científica|Documentário,4
U0049,Sudeste,35-44,Basic,Desktop,Drama|Animação|Comédia,37
U0050,Sul,25-34,Basic,Smart TV,Família|Terror|Animação,41
U0051,Sul,25-34,Basic,Mobile,Ação|Crime|Animação,35
U0052,Sul,35-44,Premium,Smart TV,Família|Crime|Romance,12
U0053,Sudeste,35-44,Premium,Mobile,Documentário|Ação|Família,46
U0054,Sul,18-24,Premium,Tablet,Terror|Romance|Documentário,5
U0055,Norte,25-34,Premium,Smart TV,Romance|Crime|Aventura,6
U0056,Sudeste,35-44,Basic,Smart TV,Crime|Animação|Terror,15
U0057,Centro-Oeste,18-24,Basic,Mobile,Família|Comédia|Romance,26
U0058,Sudeste,45-54,Standard,Smart TV,Comédia|Aventura|Ficção científica,35
U0059,Nordeste,25-34,Standard,Smart TV,Família|Aventura|Drama,14
U0060,Sul,35-44,Standard,Mobile,Romance|Suspense|Ação,44
U0061,Nordeste,18-24,Basic,Smart TV,Suspense|Comédia|Aventura,40
U0062,Centro-Oeste,55+,Premium,Smart TV,Romance|Crime|Terror,12
U0063,Sudeste,45-54,Basic,Mobile,Ficção científica|Ação|Crime,3
U0064,Nordeste,25-34,Standard,Mobile,Comédia|Animação|Documentário,34
U0065,Centro-Oeste,35-44,Premium,Desktop,Ação|Suspense|Crime,9
U0066,Nordeste,45-54,Standard,Smart TV,Ação|Família|Crime,14
U0067,Sudeste,18-24,Standard,Smart TV,Documentário|Aventura|Crime,38
U0068,Sudeste,35-44,Standard,Mobile,Aventura|Comédia|Documentário,10
U0069,Centro-Oeste,45-54,Premium,Desktop,Animação|Ficção científica|Terror,18
